name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
Fp1	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
AF7	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
AF3	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
F1	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
F3	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
F5	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
F7	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
FT7	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
FC5	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
FC3	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
FC1	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
C1	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
C3	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
C5	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
T7	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
TP7	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
CP5	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
CP3	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
CP1	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
P1	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
P3	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
P5	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
P7	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
P9	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
PO7	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
PO3	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
O1	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
Iz	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
Oz	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
POz	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
Pz	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
CPz	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
Fpz	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
Fp2	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
AF8	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
AF4	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
AFz	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
Fz	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
F2	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
F4	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
F6	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
F8	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
FT8	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
FC6	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
FC4	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
FC2	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
FCz	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
Cz	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
C2	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
C4	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
C6	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
T8	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
TP8	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
CP6	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
CP4	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
CP2	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
P2	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
P4	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
P6	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
P8	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
P10	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
PO8	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
PO4	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
O2	EEG	µV	0.0	417.0	ElectroEncephaloGram	2048.0	good	not evaluated
HOG1	EOG	µV	0.0	417.0	ElectroOculoGram	2048.0	good	not evaluated
HOG2	EOG	µV	0.0	417.0	ElectroOculoGram	2048.0	good	not evaluated
VOG1	EOG	µV	0.0	417.0	ElectroOculoGram	2048.0	good	not evaluated
VOG2	EOG	µV	0.0	417.0	ElectroOculoGram	2048.0	good	not evaluated
